nProducers	backoffStartTimeout	chunkSize	cleanupCycles	nConsumers	type	Score	Error	Units
2	0	100	1	1	SALSA	452,957	3,398	ops/ms
2	0	100	1	2	SALSA	436,847	3,023	ops/ms
2	0	100	1	4	SALSA	310,596	2,184	ops/ms
2	0	100	1	6	SALSA	258,151	3,256	ops/ms
2	0	100	1	8	SALSA	255,897	8,950	ops/ms
2	0	100	2147483647	1	SALSA	473,444	1,262	ops/ms
2	0	100	2147483647	2	SALSA	420,696	3,999	ops/ms
2	0	100	2147483647	4	SALSA	315,724	22,634	ops/ms
2	0	100	2147483647	6	SALSA	254,806	2,357	ops/ms
2	0	100	2147483647	8	SALSA	260,721	7,725	ops/ms
2	0	500000	1	1	SALSA	458,354	10,383	ops/ms
2	0	500000	1	2	SALSA	422,892	2,457	ops/ms
2	0	500000	1	4	SALSA	309,025	10,418	ops/ms
2	0	500000	1	6	SALSA	248,480	1,898	ops/ms
2	0	500000	1	8	SALSA	240,628	3,475	ops/ms
2	0	500000	2147483647	1	SALSA	454,524	4,437	ops/ms
2	0	500000	2147483647	2	SALSA	430,841	2,112	ops/ms
2	0	500000	2147483647	4	SALSA	305,756	7,166	ops/ms
2	0	500000	2147483647	6	SALSA	255,413	3,373	ops/ms
2	0	500000	2147483647	8	SALSA	242,426	3,002	ops/ms
2	5	100	1	1	SALSA	474,439	3,647	ops/ms
2	5	100	1	2	SALSA	424,548	1,369	ops/ms
2	5	100	1	4	SALSA	350,485	10,138	ops/ms
2	5	100	1	6	SALSA	284,826	25,555	ops/ms
2	5	100	1	8	SALSA	285,121	4,129	ops/ms
2	5	100	2147483647	1	SALSA	488,947	2,815	ops/ms
2	5	100	2147483647	2	SALSA	421,054	7,604	ops/ms
2	5	100	2147483647	4	SALSA	363,431	6,599	ops/ms
2	5	100	2147483647	6	SALSA	260,345	2,133	ops/ms
2	5	100	2147483647	8	SALSA	278,607	5,016	ops/ms
2	5	500000	1	1	SALSA	489,843	3,243	ops/ms
2	5	500000	1	2	SALSA	412,036	1,505	ops/ms
2	5	500000	1	4	SALSA	309,671	7,635	ops/ms
2	5	500000	1	6	SALSA	254,659	2,477	ops/ms
2	5	500000	1	8	SALSA	272,254	14,019	ops/ms
2	5	500000	2147483647	1	SALSA	448,231	1,951	ops/ms
2	5	500000	2147483647	2	SALSA	426,712	6,881	ops/ms
2	5	500000	2147483647	4	SALSA	319,462	8,746	ops/ms
2	5	500000	2147483647	6	SALSA	262,912	3,281	ops/ms
2	5	500000	2147483647	8	SALSA	257,825	7,563	ops/ms
2	50	100	1	1	SALSA	432,709	2,491	ops/ms
2	50	100	1	2	SALSA	429,612	11,075	ops/ms
2	50	100	1	4	SALSA	318,190	5,480	ops/ms
2	50	100	1	6	SALSA	237,225	6,996	ops/ms
2	50	100	1	8	SALSA	277,886	10,448	ops/ms
2	50	100	2147483647	1	SALSA	478,455	5,284	ops/ms
2	50	100	2147483647	2	SALSA	444,092	2,966	ops/ms
2	50	100	2147483647	4	SALSA	324,150	24,940	ops/ms
2	50	100	2147483647	6	SALSA	252,046	1,326	ops/ms
2	50	100	2147483647	8	SALSA	244,990	40,359	ops/ms
2	50	500000	1	1	SALSA	449,366	3,603	ops/ms
2	50	500000	1	2	SALSA	423,684	2,698	ops/ms
2	50	500000	1	4	SALSA	308,298	7,565	ops/ms
2	50	500000	1	6	SALSA	261,957	2,331	ops/ms
2	50	500000	1	8	SALSA	254,822	7,154	ops/ms
2	50	500000	2147483647	1	SALSA	456,135	6,547	ops/ms
2	50	500000	2147483647	2	SALSA	428,765	10,000	ops/ms
2	50	500000	2147483647	4	SALSA	329,997	29,008	ops/ms
2	50	500000	2147483647	6	SALSA	256,228	2,401	ops/ms
2	50	500000	2147483647	8	SALSA	250,318	9,324	ops/ms
