nProducers	backoffStartTimeout	chunkSize	cleanupCycles	nConsumers	type	Score	Error	Units
1	0	100	1	1	SALSA	316,724	11,048	ops/ms
1	0	100	1	2	SALSA	292,539	5,086	ops/ms
1	0	100	1	4	SALSA	244,995	2,845	ops/ms
1	0	100	1	6	SALSA	167,801	3,131	ops/ms
1	0	100	1	8	SALSA	166,116	1,678	ops/ms
1	0	100	2147483647	1	SALSA	310,363	4,641	ops/ms
1	0	100	2147483647	2	SALSA	279,078	1,616	ops/ms
1	0	100	2147483647	4	SALSA	242,624	10,324	ops/ms
1	0	100	2147483647	6	SALSA	158,412	2,635	ops/ms
1	0	100	2147483647	8	SALSA	166,942	1,975	ops/ms
1	0	500000	1	1	SALSA	318,542	9,739	ops/ms
1	0	500000	1	2	SALSA	296,495	7,496	ops/ms
1	0	500000	1	4	SALSA	237,774	7,310	ops/ms
1	0	500000	1	6	SALSA	151,575	7,294	ops/ms
1	0	500000	1	8	SALSA	160,191	4,268	ops/ms
1	0	500000	2147483647	1	SALSA	299,899	4,580	ops/ms
1	0	500000	2147483647	2	SALSA	284,495	9,050	ops/ms
1	0	500000	2147483647	4	SALSA	250,033	0,609	ops/ms
1	0	500000	2147483647	6	SALSA	170,888	3,920	ops/ms
1	0	500000	2147483647	8	SALSA	150,693	2,158	ops/ms
1	5	100	1	1	SALSA	290,302	5,275	ops/ms
1	5	100	1	2	SALSA	292,798	4,026	ops/ms
1	5	100	1	4	SALSA	244,276	7,169	ops/ms
1	5	100	1	6	SALSA	164,767	2,252	ops/ms
1	5	100	1	8	SALSA	166,991	2,892	ops/ms
1	5	100	2147483647	1	SALSA	304,253	2,460	ops/ms
1	5	100	2147483647	2	SALSA	289,577	1,986	ops/ms
1	5	100	2147483647	4	SALSA	260,439	0,534	ops/ms
1	5	100	2147483647	6	SALSA	168,737	4,023	ops/ms
1	5	100	2147483647	8	SALSA	163,522	7,290	ops/ms
1	5	500000	1	1	SALSA	316,910	1,317	ops/ms
1	5	500000	1	2	SALSA	286,950	3,928	ops/ms
1	5	500000	1	4	SALSA	232,706	5,223	ops/ms
1	5	500000	1	6	SALSA	155,928	2,973	ops/ms
1	5	500000	1	8	SALSA	151,674	1,882	ops/ms
1	5	500000	2147483647	1	SALSA	297,410	18,514	ops/ms
1	5	500000	2147483647	2	SALSA	293,446	2,200	ops/ms
1	5	500000	2147483647	4	SALSA	224,565	1,437	ops/ms
1	5	500000	2147483647	6	SALSA	152,483	5,477	ops/ms
1	5	500000	2147483647	8	SALSA	164,236	2,930	ops/ms
1	50	100	1	1	SALSA	294,302	7,546	ops/ms
1	50	100	1	2	SALSA	294,167	3,484	ops/ms
1	50	100	1	4	SALSA	212,315	7,031	ops/ms
1	50	100	1	6	SALSA	163,223	0,977	ops/ms
1	50	100	1	8	SALSA	169,747	1,082	ops/ms
1	50	100	2147483647	1	SALSA	311,674	5,850	ops/ms
1	50	100	2147483647	2	SALSA	292,611	1,767	ops/ms
1	50	100	2147483647	4	SALSA	255,308	5,379	ops/ms
1	50	100	2147483647	6	SALSA	169,389	2,309	ops/ms
1	50	100	2147483647	8	SALSA	168,943	1,384	ops/ms
1	50	500000	1	1	SALSA	303,872	6,104	ops/ms
1	50	500000	1	2	SALSA	290,593	2,467	ops/ms
1	50	500000	1	4	SALSA	239,289	5,943	ops/ms
1	50	500000	1	6	SALSA	153,658	2,431	ops/ms
1	50	500000	1	8	SALSA	140,650	8,715	ops/ms
1	50	500000	2147483647	1	SALSA	317,806	3,687	ops/ms
1	50	500000	2147483647	2	SALSA	293,141	2,066	ops/ms
1	50	500000	2147483647	4	SALSA	234,379	4,752	ops/ms
1	50	500000	2147483647	6	SALSA	154,917	7,337	ops/ms
1	50	500000	2147483647	8	SALSA	148,463	2,679	ops/ms
